This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
purple camo wall, 1315 [RoomWall_04885]
pastel puzzle wall, 1316 [RoomWall_04886]
colorful puzzle wall, 1317 [RoomWall_04887]
blue playroom wall, 1318 [RoomWall_04888]
pink playroom wall, 1319 [RoomWall_04889]
concrete wall, 131A [RoomWall_04890]
white delicate-blooms wall, 131B [RoomWall_04891]
monochromatic dotted wall, 131C [RoomWall_04892]
pink flower-print wall, 131D [RoomWall_04893]
golden wall, 131E [RoomWall_04894] DIY: 012B
pink blossoming wall, 131F [RoomWall_04895]
blue blossoming wall, 1320 [RoomWall_04896]
red delicate-blooms wall, 1321 [RoomWall_04897]
green delicate-blooms wall, 1322 [RoomWall_04898]
pastel dotted wall, 1323 [RoomWall_04899]
red dotted wall, 1324 [RoomWall_04900]
purple dotted wall, 1326 [RoomWall_04902]
green blossoming wall, 1327 [RoomWall_04903]
modern wood wall, 1328 [RoomWall_04904] DIY: 0140
autumn wall, 1329 [RoomWall_04905] DIY: 0122
rose wall, 132A [RoomWall_04906]
purple-rose wall, 132B [RoomWall_04907]
mod wall, 132C [RoomWall_04908]
honeycomb-tile wall, 132D [RoomWall_04909]
monochromatic-tile wall, 132E [RoomWall_04910]
wooden-knot wall, 132F [RoomWall_04911] DIY: 013F
blue honeycomb-tile wall, 1330 [RoomWall_04912]
green honeycomb-tile wall, 1331 [RoomWall_04913]
white honeycomb-tile wall, 1332 [RoomWall_04914]
orange wall, 1333 [RoomWall_04915] DIY: 012F
apple wall, 1334 [RoomWall_04916] DIY: 0130
pear wall, 1335 [RoomWall_04917] DIY: 0131
peach wall, 1336 [RoomWall_04918] DIY: 0132
cherry wall, 1337 [RoomWall_04919] DIY: 0133
white perforated-board wall, 1338 [RoomWall_04920]
perforated-board wall, 1339 [RoomWall_04921]
black perforated-board wall, 133A [RoomWall_04922]
gray shanty wall, 133B [RoomWall_04923]
pink shanty wall, 133C [RoomWall_04924]
blue shanty wall, 133D [RoomWall_04925]
brown shanty wall, 133E [RoomWall_04926]
white-brick wall, 133F [RoomWall_04927]
red-brick wall, 1340 [RoomWall_04928]
black-brick wall, 1341 [RoomWall_04929]
aqua tile wall, 1342 [RoomWall_04930]
colorful-tile wall, 1343 [RoomWall_04931]
dark-chocolate wall, 1344 [RoomWall_04932]
white-chocolate wall, 1345 [RoomWall_04933]
strawberry-chocolate wall, 1346 [RoomWall_04934]
green flower-print wall, 1347 [RoomWall_04935]
ancient wall, 1348 [RoomWall_04936]
steampunk wall, 1349 [RoomWall_04937]
white simple-cloth wall, 134B [RoomWall_04939]
blue subway-tile wall, 134C [RoomWall_04940]
white subway-tile wall, 134D [RoomWall_04941]
pink-striped wall, 134F [RoomWall_04943]
gray-striped wall, 1350 [RoomWall_04944]
blue-striped wall, 1351 [RoomWall_04945]
yellow-striped wall, 1352 [RoomWall_04946]
sakura-wood wall, 1353 [RoomWall_04947] DIY: 0141
blue painted-wood wall, 1354 [RoomWall_04948]
green painted-wood wall, 1355 [RoomWall_04949]
mush wall, 142C [RoomWall_05164] DIY: 0134
mortar wall, 145F [RoomWall_05215]
stone wall, 1460 [RoomWall_05216] DIY: 013E
straw wall, 1461 [RoomWall_05217]
office wall, 1462 [RoomWall_05218]
supermarket wall, 1464 [RoomWall_05220]
street-art wall, 1465 [RoomWall_05221]
dig-site wall, 1466 [RoomWall_05222]
woodland wall, 1467 [RoomWall_05223] DIY: 01D7
imperial wall, 1468 [RoomWall_05224]
ramshackle wall, 1469 [RoomWall_05225]
party wall, 146A [RoomWall_05226]
dojo wall, 146B [RoomWall_05227]
ruins wall, 146C [RoomWall_05228]
garbage-heap wall, 146D [RoomWall_05229] DIY: 012D
Jingle wall, 146E [RoomWall_05230] DIY: 0123
Bunny Day wall, 146F [RoomWall_05231] DIY: 02C4
cityscape wall, 1518 [RoomWall_05400]
robo-wall, 154F [RoomWall_05455]
tree-lined wall, 1550 [RoomWall_05456]
jungle wall, 1551 [RoomWall_05457] DIY: 0146
mossy-garden wall, 1552 [RoomWall_05458]
backyard-fence wall, 1569 [RoomWall_05481]
arched-window wall, 156A [RoomWall_05482]
café-curtain wall, 156B [RoomWall_05483]
meadow vista, 156C [RoomWall_05484]
chain-link fence, 156D [RoomWall_05485]
ocean-horizon wall, 156E [RoomWall_05486]
rice-paddy wall, 156F [RoomWall_05487]
desert vista, 1570 [RoomWall_05488]
western vista, 1571 [RoomWall_05489]
server-room wall, 1572 [RoomWall_05490]
security-monitors wall, 1573 [RoomWall_05491]
candles wall, 1574 [RoomWall_05492]
future-tech wall, 1576 [RoomWall_05494]
laboratory wall, 1577 [RoomWall_05495]
train-window wall, 1578 [RoomWall_05496]
airplane wall, 1579 [RoomWall_05497]
ski-slope wall, 157A [RoomWall_05498] DIY: 0127
stormy-night wall, 157B [RoomWall_05499]
starry-sky wall, 157C [RoomWall_05500] DIY: 0126
sea view, 157D [RoomWall_05501]
palace wall, 157E [RoomWall_05502]
stadium wall, 157F [RoomWall_05503]
sky wall, 1580 [RoomWall_05504]
ice wall, 1581 [RoomWall_05505] DIY: 0125
magma-cavern wall, 1582 [RoomWall_05506]
limestone-cave wall, 1583 [RoomWall_05507]
underwater wall, 1584 [RoomWall_05508] DIY: 0299
dungeon wall, 1585 [RoomWall_05509]
sci-fi wall, 1586 [RoomWall_05510] DIY: 0124
graveyard wall, 1587 [RoomWall_05511]
ringside seating, 1588 [RoomWall_05512]
summit wall, 1589 [RoomWall_05513]
mangrove wall, 158A [RoomWall_05514]
skull wall, 1590 [RoomWall_05520]
standard tearoom wall, 1591 [RoomWall_05521]
starry wall, 1598 [RoomWall_05528] DIY: 011E
basic wall, 15B7 [RoomWall_05559]
tropical vista, 161D [RoomWall_05661] DIY: 029A
iceberg wall, 161E [RoomWall_05662] DIY: 012E
Nook Inc. wall, 1774 [RoomWall_06004]
brown-brick wall, 1AC2 [RoomWall_06850]
brown-crown wall, 1AC3 [RoomWall_06851]
blue delicate-blooms wall, 1AC4 [RoomWall_06852]
red perforated-board wall, 1AC5 [RoomWall_06853]
green molded-panel wall, 1AC6 [RoomWall_06854]
orange camo wall, 1AC7 [RoomWall_06855]
red two-toned tile wall, 1AC8 [RoomWall_06856]
peach two-toned tile wall, 1AC9 [RoomWall_06857]
blue two-toned tile wall, 1ACA [RoomWall_06858]
black two-toned tile wall, 1ACB [RoomWall_06859]
white hallway wall, 1ACD [RoomWall_06861]
black hallway wall, 1ACE [RoomWall_06862]
olive Moroccan wall, 1ACF [RoomWall_06863]
purple Moroccan wall, 1AD0 [RoomWall_06864]
yellow playroom wall, 1AD1 [RoomWall_06865]
green playroom wall, 1AD2 [RoomWall_06866]
white-rose wall, 1AD4 [RoomWall_06868]
blue-rose wall, 1AD5 [RoomWall_06869]
red heart-pattern wall, 1AD6 [RoomWall_06870]
yellow heart-pattern wall, 1AD7 [RoomWall_06871]
yellow flower-print wall, 1AD8 [RoomWall_06872]
blue flower-print wall, 1AD9 [RoomWall_06873]
sepia puzzle wall, 1ADA [RoomWall_06874]
purple puzzle wall, 1ADB [RoomWall_06875]
botanical-tile wall, 1ADC [RoomWall_06876]
black botanical-tile wall, 1ADD [RoomWall_06877]
green intricate wall, 1ADE [RoomWall_06878]
red intricate wall, 1ADF [RoomWall_06879]
blue tile wall, 1BD7 [RoomWall_07127]
forest wall, 1C13 [RoomWall_07187] DIY: 01E4
cherry-blossom-trees wall, 1C25 [RoomWall_07205] DIY: 01E0
cute white wall, 1C2F [RoomWall_07215]
cute red wall, 1C30 [RoomWall_07216]
cute blue wall, 1C31 [RoomWall_07217]
cute yellow wall, 1C32 [RoomWall_07218]
blue diner wall, 1C49 [RoomWall_07241]
pink diner wall, 1C4A [RoomWall_07242]
gray diner wall, 1C4B [RoomWall_07243]
brown diner wall, 1C4C [RoomWall_07244]
pink quilt wall, 1C6A [RoomWall_07274]
purple quilt wall, 1C6B [RoomWall_07275]
yellow quilt wall, 1C6C [RoomWall_07276]
blue quilt wall, 1C6D [RoomWall_07277]
Hello Kitty wall, 27BB [RoomWall_10171]
Cinnamoroll wall, 27BC [RoomWall_10172]
My Melody wall, 27BD [RoomWall_10173]
Pompompurin wall, 27BE [RoomWall_10174]
Kerokerokeroppi wall, 27BF [RoomWall_10175]
Kiki & Lala wall, 27C0 [RoomWall_10176]
chic tearoom wall, 2BA8 [RoomWall_11176]
soothing tearoom wall, 2BA9 [RoomWall_11177]
modern tearoom wall, 2BAA [RoomWall_11178]
harmonious wall, 2BAC [RoomWall_11180]
misty-garden wall, 2E8B [RoomWall_11915]
wedding-party wall, 30AD [RoomWall_12461]
white wedding wall, 30B2 [RoomWall_12466]
brown wedding wall, 30B4 [RoomWall_12468]
green wedding wall, 30B5 [RoomWall_12469]
mermaid wall, 3116 [RoomWall_12566] DIY: 02D9
pirate wall, 3117 [RoomWall_12567]
circus wall, 31B1 [RoomWall_12721]
pharmacy-shelving wall, 31B4 [RoomWall_12724]
hallway wall, 3230 [RoomWall_12848]
red locker-room wall, 3231 [RoomWall_12849]
operating-room wall, 3233 [RoomWall_12851]
brick garden wall, 3237 [RoomWall_12855]
white European-style wall, 326A [RoomWall_12906]
retro restaurant wall, 326B [RoomWall_12907]
coffee-shop wall, 326C [RoomWall_12908]
ice-cream-shoppe wall, 326D [RoomWall_12909]
outdoor-window wall, 326E [RoomWall_12910]
apparel-shop wall, 326F [RoomWall_12911]
white-shelving wall, 3270 [RoomWall_12912]
concession-stand wall, 3271 [RoomWall_12913]
glowing-moss forest wall, 32DB [RoomWall_13019] DIY: 0305
Paradise Planning wall, 32DC [RoomWall_13020]
club wall, 334A [RoomWall_13130]
spooky wall, 33A8 [RoomWall_13224]
fireworks-show wall, 33AE [RoomWall_13230]
Turkey Day wall, 3406 [RoomWall_13318]
antique brick wall, 3413 [RoomWall_13331]
white window-panel wall, 3414 [RoomWall_13332]
zen architecture wall, 3415 [RoomWall_13333]
frozen-foods freezer wall, 342E [RoomWall_13358]
greenhouse wall, 347A [RoomWall_13434]
tent wall, 347B [RoomWall_13435]
black window-panel wall, 347E [RoomWall_13438]
gray locker-room wall, 3481 [RoomWall_13441]
gray-shelving wall, 3482 [RoomWall_13442]
paw-print wall, 34AA [RoomWall_13482]
blue Moroccan-style wall, 34AF [RoomWall_13487]
orange Moroccan-style wall, 34B9 [RoomWall_13497]
falling-snow wall, 3523 [RoomWall_13603] DIY: 02F0
aurora wall, 3529 [RoomWall_13609]
mushroom mural, 35ED [RoomWall_13805]
black European-style wall, 362A [RoomWall_13866]
glowing-moss ruins wall, 3632 [RoomWall_13874] DIY: 02FD
rope-net wall, 3633 [RoomWall_13875] DIY: 02FE
glowing-moss cave wall, 3639 [RoomWall_13881] DIY: 0304
prom wall, 37AC [RoomWall_14252]
Room Sketch wall, 3A30 [RoomWall_14896]
 
STR_ItemName_51_RoomFloor
basement flooring, 12BD [RoomFloor_04797] DIY: 01DA
ship deck, 1356 [RoomFloor_04950]
concrete flooring, 1357 [RoomFloor_04951]
green rubber flooring, 1358 [RoomFloor_04952]
arabesque flooring, 1359 [RoomFloor_04953]
blue rubber flooring, 135A [RoomFloor_04954]
jointed-mat flooring, 135B [RoomFloor_04955]
pastel puzzle flooring, 135C [RoomFloor_04956]
colorful puzzle flooring, 135D [RoomFloor_04957]
rose flooring, 135E [RoomFloor_04958]
leopard-print flooring, 135F [RoomFloor_04959]
steel flooring, 1360 [RoomFloor_04960] DIY: 01E9
giraffe-print flooring, 1361 [RoomFloor_04961]
zebra-print flooring, 1362 [RoomFloor_04962]
stripe flooring, 1363 [RoomFloor_04963]
bamboo flooring, 1364 [RoomFloor_04964] DIY: 01E5
beige Moroccan flooring, 1365 [RoomFloor_04965]
blue Moroccan flooring, 1366 [RoomFloor_04966]
rattan flooring, 1367 [RoomFloor_04967]
lunar surface, 1368 [RoomFloor_04968] DIY: 01DE
cork flooring, 1369 [RoomFloor_04969]
sandy-beach flooring, 136A [RoomFloor_04970] DIY: 029D
terra-cotta flooring, 136B [RoomFloor_04971]
hexagonal floral flooring, 136C [RoomFloor_04972]
random-square-tile flooring, 136D [RoomFloor_04973]
white-brick flooring, 136E [RoomFloor_04974]
red-brick flooring, 136F [RoomFloor_04975]
black-brick flooring, 1370 [RoomFloor_04976]
floral rush-mat flooring, 1371 [RoomFloor_04977]
gravel flooring, 1372 [RoomFloor_04978]
backyard lawn, 1373 [RoomFloor_04979] DIY: 01E7
field flooring, 1374 [RoomFloor_04980]
dirt flooring, 1375 [RoomFloor_04981]
boxing-ring mat, 1376 [RoomFloor_04982]
Saharah's desert, 1377 [RoomFloor_04983]
western desert, 1378 [RoomFloor_04984]
sandlot, 1379 [RoomFloor_04985]
money flooring, 137A [RoomFloor_04986] DIY: 01D9
cubic parquet flooring, 137B [RoomFloor_04987]
paintball flooring, 137C [RoomFloor_04988]
ski-slope flooring, 137D [RoomFloor_04989] DIY: 01E3
colored-leaves flooring, 137E [RoomFloor_04990] DIY: 01DC
light wood-pattern flooring, 137F [RoomFloor_04991]
dark wood-pattern flooring, 1380 [RoomFloor_04992]
floral mosaic-tile flooring, 1381 [RoomFloor_04993]
argyle tile flooring, 1382 [RoomFloor_04994]
patchwork-tile flooring, 1383 [RoomFloor_04995]
racetrack flooring, 1384 [RoomFloor_04996]
parking flooring, 1385 [RoomFloor_04997]
arched-brick flooring, 1386 [RoomFloor_04998]
honeycomb flooring, 1387 [RoomFloor_04999] DIY: 01D8
simple red flooring, 1388 [RoomFloor_05000]
simple blue flooring, 1389 [RoomFloor_05001]
simple purple flooring, 138B [RoomFloor_05003]
simple white flooring, 138C [RoomFloor_05004]
daisy meadow, 138D [RoomFloor_05005]
wildflower meadow, 138E [RoomFloor_05006]
crosswalk flooring, 138F [RoomFloor_05007]
sidewalk flooring, 1390 [RoomFloor_05008]
train-station flooring, 1391 [RoomFloor_05009]
scramble crosswalk, 1392 [RoomFloor_05010]
dig-site flooring, 1393 [RoomFloor_05011]
imperial tile, 1394 [RoomFloor_05012]
sumo ring, 1395 [RoomFloor_05013]
camo flooring, 1397 [RoomFloor_05015]
blue camo flooring, 1398 [RoomFloor_05016]
purple camo flooring, 1399 [RoomFloor_05017]
common flooring, 139A [RoomFloor_05018]
pine-board flooring, 139B [RoomFloor_05019]
white mosaic-tile flooring, 139C [RoomFloor_05020]
golden flooring, 139D [RoomFloor_05021] DIY: 01DB
light parquet flooring, 139E [RoomFloor_05022]
monochromatic dot flooring, 139F [RoomFloor_05023]
marine pop flooring, 13A0 [RoomFloor_05024]
dark parquet flooring, 13A1 [RoomFloor_05025]
mint dot flooring, 13A2 [RoomFloor_05026]
red dot flooring, 13A3 [RoomFloor_05027]
blue dot flooring, 13A4 [RoomFloor_05028]
water flooring, 13A6 [RoomFloor_05030] DIY: 0235
flagstone flooring, 13A7 [RoomFloor_05031]
birch flooring, 13A8 [RoomFloor_05032]
natural-block flooring, 13A9 [RoomFloor_05033]
lobby flooring, 13AA [RoomFloor_05034]
dark-block flooring, 13AB [RoomFloor_05035]
aqua tile flooring, 13AC [RoomFloor_05036]
colorful mosaic-tile flooring, 13AD [RoomFloor_05037]
brown honeycomb tile, 13AE [RoomFloor_05038]
tatami, 13AF [RoomFloor_05039]
blue honeycomb tile, 13B0 [RoomFloor_05040]
green honeycomb tile, 13B1 [RoomFloor_05041]
white honeycomb tile, 13B2 [RoomFloor_05042]
orange retro flooring, 13B3 [RoomFloor_05043]
modern wood flooring, 13B4 [RoomFloor_05044]
green retro flooring, 13B5 [RoomFloor_05045]
gray vinyl flooring, 13B6 [RoomFloor_05046]
red-and-black vinyl flooring, 13B7 [RoomFloor_05047]
green vinyl flooring, 13B8 [RoomFloor_05048]
wooden-knot flooring, 13B9 [RoomFloor_05049]
dark-chocolates flooring, 13BA [RoomFloor_05050]
palace tile, 13BB [RoomFloor_05051]
white-chocolates flooring, 13BC [RoomFloor_05052]
berry-chocolates flooring, 13BD [RoomFloor_05053]
pyramid tile, 13BE [RoomFloor_05054]
steampunk flooring, 13BF [RoomFloor_05055]
sakura-wood flooring, 13C0 [RoomFloor_05056] DIY: 0289
blue-paint flooring, 13C1 [RoomFloor_05057]
green-paint flooring, 13C2 [RoomFloor_05058]
pink-paint flooring, 13C3 [RoomFloor_05059]
white-paint flooring, 13C4 [RoomFloor_05060]
light herringbone flooring, 13C5 [RoomFloor_05061]
dark herringbone flooring, 13C6 [RoomFloor_05062]
rosewood flooring, 13C7 [RoomFloor_05063]
gold iron-parquet flooring, 13C8 [RoomFloor_05064]
brown iron-parquet flooring, 13C9 [RoomFloor_05065]
black iron-parquet flooring, 13CA [RoomFloor_05066]
monochromatic tile flooring, 13CB [RoomFloor_05067]
colorful tile flooring, 13CC [RoomFloor_05068]
stone tile, 13CD [RoomFloor_05069]
cute-paint flooring, 13CE [RoomFloor_05070]
cool-paint flooring, 13CF [RoomFloor_05071]
robo-flooring, 13D0 [RoomFloor_05072]
yellow floral flooring, 13D1 [RoomFloor_05073]
blue floral flooring, 13D2 [RoomFloor_05074]
brown floral flooring, 13D3 [RoomFloor_05075]
kitschy tile, 13D4 [RoomFloor_05076]
tatami flooring, 13D5 [RoomFloor_05077]
rush tatami flooring, 13D6 [RoomFloor_05078]
rush tatami, 13D7 [RoomFloor_05079]
gray argyle-tile flooring, 13D8 [RoomFloor_05080]
brown argyle-tile flooring, 13D9 [RoomFloor_05081]
circuit-board flooring, 13DA [RoomFloor_05082]
rubber-tile flooring, 142B [RoomFloor_05163]
artsy parquet flooring, 1470 [RoomFloor_05232]
slate flooring, 1471 [RoomFloor_05233]
mossy-garden flooring, 1472 [RoomFloor_05234]
construction-site flooring, 1473 [RoomFloor_05235]
garbage-heap flooring, 1474 [RoomFloor_05236] DIY: 01E6
highway flooring, 1475 [RoomFloor_05237]
swamp flooring, 1476 [RoomFloor_05238]
rocky-mountain flooring, 1477 [RoomFloor_05239]
ramshackle flooring, 1478 [RoomFloor_05240]
party flooring, 1479 [RoomFloor_05241]
crop-circles flooring, 147B [RoomFloor_05243]
skull-print flooring, 1480 [RoomFloor_05248]
magic-circle flooring, 1481 [RoomFloor_05249]
future-tech flooring, 1482 [RoomFloor_05250]
iceberg flooring, 1485 [RoomFloor_05253] DIY: 0121
oasis flooring, 1487 [RoomFloor_05255]
cloud flooring, 1493 [RoomFloor_05267]
underwater flooring, 1494 [RoomFloor_05268] DIY: 0234
galaxy flooring, 1495 [RoomFloor_05269] DIY: 01E2
sci-fi flooring, 1496 [RoomFloor_05270] DIY: 01DD
flowing-river flooring, 1499 [RoomFloor_05273]
lava flooring, 149A [RoomFloor_05274]
jungle flooring, 158B [RoomFloor_05515] DIY: 01D6
ice flooring, 158C [RoomFloor_05516] DIY: 0120
Nook Inc. flooring, 1775 [RoomFloor_06005]
white iron-parquet flooring, 1ABB [RoomFloor_06843]
cool vinyl flooring, 1ABC [RoomFloor_06844]
orange camo flooring, 1ABD [RoomFloor_06845]
blue mosaic-tile flooring, 1ABE [RoomFloor_06846]
green floral flooring, 1ABF [RoomFloor_06847]
tiger-print flooring, 1AC0 [RoomFloor_06848]
brown-brick flooring, 1AC1 [RoomFloor_06849]
purple Moroccan flooring, 1B0F [RoomFloor_06927]
olive Moroccan flooring, 1B10 [RoomFloor_06928]
sepia puzzle flooring, 1C10 [RoomFloor_07184]
purple puzzle flooring, 1C11 [RoomFloor_07185]
forest flooring, 1C12 [RoomFloor_07186] DIY: 01E8
cherry-blossom flooring, 1C24 [RoomFloor_07204] DIY: 01DF
cute white-tile flooring, 1C33 [RoomFloor_07219]
cute red-tile flooring, 1C34 [RoomFloor_07220]
cute blue-tile flooring, 1C35 [RoomFloor_07221]
cute yellow-tile flooring, 1C36 [RoomFloor_07222]
starry-sands flooring, 1C47 [RoomFloor_07239] DIY: 029B
Kerokerokeroppi flooring, 27C2 [RoomFloor_10178]
Kiki & Lala flooring, 27C3 [RoomFloor_10179]
My Melody flooring, 27C4 [RoomFloor_10180]
Pompompurin flooring, 27C5 [RoomFloor_10181]
Cinnamoroll flooring, 27C6 [RoomFloor_10182]
Hello Kitty flooring, 27C7 [RoomFloor_10183]
Bunny Day flooring, 3087 [RoomFloor_12423] DIY: 02C6
white wedding flooring, 308F [RoomFloor_12431]
brown wedding flooring, 3091 [RoomFloor_12433]
green wedding flooring, 3092 [RoomFloor_12434]
mermaid flooring, 3118 [RoomFloor_12568] DIY: 02DA
pirate flooring, 3119 [RoomFloor_12569]
patient-ward flooring, 31B6 [RoomFloor_12726]
circus flooring, 31B7 [RoomFloor_12727]
operating-room flooring, 31B9 [RoomFloor_12729]
old stone-tile flooring, 31BA [RoomFloor_12730]
natural flooring, 3234 [RoomFloor_12852]
hopscotch flooring, 3235 [RoomFloor_12853]
gym flooring, 3236 [RoomFloor_12854]
restaurant-kitchen flooring, 3273 [RoomFloor_12915]
fast-food flooring, 3275 [RoomFloor_12917]
Paradise Planning flooring, 32E2 [RoomFloor_13026]
broken stone-path flooring, 3347 [RoomFloor_13127]
club flooring, 3389 [RoomFloor_13193]
spooky flooring, 33A9 [RoomFloor_13225]
Turkey Day flooring, 3407 [RoomFloor_13319]
old board flooring, 34AC [RoomFloor_13484]
tent flooring, 34AD [RoomFloor_13485]
Moroccan art-tile flooring, 3524 [RoomFloor_13604]
block flooring, 35EC [RoomFloor_13804]
glowing-moss flooring, 3637 [RoomFloor_13879] DIY: 0302
rope-net flooring, 3638 [RoomFloor_13880] DIY: 0303
prom flooring, 37AD [RoomFloor_14253]
Room Sketch flooring, 3A31 [RoomFloor_14897]
 
STR_ItemName_52_RoomRug
pink heart rug, 1C9A [Rug_07322]
brown wooden-deck rug, 1C9B [Rug_07323]
rough rug, 1C9C [Rug_07324]
ivory medium round mat, 1C9D [Rug_07325]
apple rug, 1C9F [Rug_07327] DIY: 021E
cherry rug, 1CA0 [Rug_07328] DIY: 021F
fluffy rug, 1CA1 [Rug_07329]
orange rug, 1CA2 [Rug_07330] DIY: 0220
peach rug, 1CA3 [Rug_07331] DIY: 0221
pear rug, 1CA4 [Rug_07332] DIY: 0222
ivory simple bath mat, 1CA5 [Rug_07333]
ivory small round mat, 1CA6 [Rug_07334]
white simple medium mat, 1CA7 [Rug_07335]
white simple small mat, 1CA8 [Rug_07336]
iron entrance mat, 1CA9 [Rug_07337]
white message mat, 1CAA [Rug_07338]
rubber mud mat, 1CAB [Rug_07339]
red-design kitchen mat, 1CAC [Rug_07340]
brown kitchen mat, 1CAD [Rug_07341]
red-and-blue checked rug, 1CAF [Rug_07343]
shanty mat, 1CB1 [Rug_07345]
snowflake rug, 1CB2 [Rug_07346]
red Persian rug, 1CB3 [Rug_07347]
red carpet, 1CB4 [Rug_07348]
monochromatic dotted rug, 1CB5 [Rug_07349]
modern wavy rug, 1CB6 [Rug_07350]
yellow stripes rug, 1CB7 [Rug_07351]
yellow argyle rug, 1CB8 [Rug_07352]
botanical rug, 1CB9 [Rug_07353]
green shaggy rug, 1CBA [Rug_07354]
aluminum rug, 1CBC [Rug_07356]
Earth rug, 1CBD [Rug_07357]
tropical rug, 1CBE [Rug_07358]
colorful vinyl sheet, 1CBF [Rug_07359]
ladybug rug, 1CC0 [Rug_07360]
fish rug, 1CC1 [Rug_07361]
shell rug, 1CC2 [Rug_07362] DIY: 029C
mush rug, 1CC3 [Rug_07363]
Nook Inc. rug, 1CC4 [Rug_07364]
pink rose rug, 1CC5 [Rug_07365]
fossil rug, 1CC6 [Rug_07366]
magic-circle rug, 1CC7 [Rug_07367]
lacy rug, 1CC8 [Rug_07368]
tatami mat, 1CC9 [Rug_07369]
oval entrance mat, 1CCA [Rug_07370]
sloppy rug, 1CCB [Rug_07371]
natural wooden-deck rug, 1CD4 [Rug_07380]
white wooden-deck rug, 1CD5 [Rug_07381]
black wooden-deck rug, 1CD6 [Rug_07382]
Mom's cool kitchen mat, 1CEA [Rug_07402]
yellow vinyl sheet, 1CEB [Rug_07403]
blue vinyl sheet, 1CEC [Rug_07404]
red vinyl sheet, 1CED [Rug_07405]
monochromatic wavy rug, 1D20 [Rug_07456]
red wavy rug, 1D21 [Rug_07457]
blue wavy rug, 1D22 [Rug_07458]
yellow checked rug, 1D26 [Rug_07462]
peach checked rug, 1D27 [Rug_07463]
green checked rug, 1D28 [Rug_07464]
red dotted rug, 1D29 [Rug_07465]
retro dotted rug, 1D2A [Rug_07466]
blue dotted rug, 1D2B [Rug_07467]
simple green bath mat, 1D5C [Rug_07516]
simple pink bath mat, 1D5D [Rug_07517]
simple navy bath mat, 1D5E [Rug_07518]
simple medium brown mat, 1D5F [Rug_07519]
simple small avocado mat, 1D60 [Rug_07520]
simple small blue mat, 1D61 [Rug_07521]
simple small brown mat, 1D62 [Rug_07522]
simple medium blue mat, 1D63 [Rug_07523]
simple medium avocado mat, 1D64 [Rug_07524]
peach stripes rug, 1D6C [Rug_07532]
blue stripes rug, 1D6D [Rug_07533]
green stripes rug, 1D6E [Rug_07534]
simple medium orange mat, 1D70 [Rug_07536]
simple small red mat, 1D71 [Rug_07537]
simple medium purple mat, 1D72 [Rug_07538]
simple medium black mat, 1D73 [Rug_07539]
simple medium red mat, 1D74 [Rug_07540]
simple small orange mat, 1D75 [Rug_07541]
simple small purple mat, 1D76 [Rug_07542]
simple small black mat, 1D77 [Rug_07543]
festive rug, 1D78 [Rug_07544] DIY: 02EA
spooky rug, 1D79 [Rug_07545]
Bunny Day rug, 1D7A [Rug_07546] DIY: 02C5
shamrock rug, 1D7B [Rug_07547]
white heart rug, 1D9A [Rug_07578]
turquoise heart rug, 1D9B [Rug_07579]
purple heart rug, 1D9C [Rug_07580]
black-design kitchen mat, 1DAA [Rug_07594]
blue-design kitchen mat, 1DAB [Rug_07595]
yellow-design kitchen mat, 1DAC [Rug_07596]
blue Persian rug, 1F63 [Rug_08035]
yellow Persian rug, 1F64 [Rug_08036]
purple Persian rug, 1F65 [Rug_08037]
green kitchen mat, 20C9 [Rug_08393]
blue kitchen mat, 20CA [Rug_08394]
yellow kitchen mat, 20CB [Rug_08395]
red argyle rug, 2112 [Rug_08466]
blue argyle rug, 2113 [Rug_08467]
brown argyle rug, 2114 [Rug_08468]
white rose rug, 2235 [Rug_08757]
red rose rug, 2236 [Rug_08758]
yellow rose rug, 2237 [Rug_08759]
custom-design rug, 2277 [RugMyDesign_08823]
blue message mat, 245E [Rug_09310]
yellow message mat, 245F [Rug_09311]
red message mat, 2460 [Rug_09312]
red kilim-style carpet, 2461 [Rug_09313]
green kilim-style carpet, 2462 [Rug_09314]
yellow kilim-style carpet, 2463 [Rug_09315]
blue kilim-style carpet, 2464 [Rug_09316]
Mom's reliable kitchen mat, 2545 [Rug_09541]
Mom's playful kitchen mat, 2546 [Rug_09542]
Mom's lively kitchen mat, 2547 [Rug_09543]
yellow medium round mat, 2548 [Rug_09544]
red medium round mat, 2549 [Rug_09545]
blue medium round mat, 254A [Rug_09546]
yellow small round mat, 254B [Rug_09547]
red small round mat, 254C [Rug_09548]
blue small round mat, 254D [Rug_09549]
purple shaggy rug, 255A [Rug_09562]
brown shaggy rug, 255B [Rug_09563]
blue shaggy rug, 255C [Rug_09564]
red blocks rug, 2B5D [Rug_11101]
blue blocks rug, 2B5E [Rug_11102]
yellow blocks rug, 2B5F [Rug_11103]
black blocks rug, 2B60 [Rug_11104]
light bamboo rug, 2B69 [Rug_11113] DIY: 029F
dark bamboo rug, 2B6A [Rug_11114] DIY: 02A0
Bell-bag rug, 2FB6 [Rug_12214]
red watermelon rug, 2FB7 [Rug_12215]
yellow watermelon rug, 2FB8 [Rug_12216]
summer-shell rug, 2FB9 [Rug_12217] DIY: 02F5
cookie rug, 2FBB [Rug_12219]
red exquisite rug, 2FBC [Rug_12220]
green exquisite rug, 2FBD [Rug_12221]
